ensembl_gene_id	external_gene_name	gene_biotype	go_id	name_1006
WBGene00020347	ech-1.2	protein_coding	GO:0016491; GO:0005739; GO:0016616; GO:0006635; GO:0070403; GO:0006631; GO:0003857; GO:0004300; GO:0016507	oxidoreductase activity; mitochondrion; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; fatty acid beta-oxidation; NAD+ binding; fatty acid metabolic process; 3-hydroxyacyl-CoA dehydrogenase activity; enoyl-CoA hydratase activity; mitochondrial fatty acid beta-oxidation multienzyme complex
WBGene00020348	mrpl-23	protein_coding	GO:0003735; GO:0006412; GO:0005840	structural constituent of ribosome; translation; ribosome
WBGene00020349	T08B2.11	protein_coding		
WBGene00020350	T08B2.12	protein_coding		
WBGene00020351	T08B6.1	protein_coding		
WBGene00020352		pseudogene		
WBGene00020353	T08B6.4	protein_coding	GO:0016020	membrane
WBGene00020354	sgnh-1	protein_coding	GO:0003723; GO:0003676	RNA binding; nucleic acid binding
WBGene00020356	T08B6.9	protein_coding		
WBGene00020357	T08E11.1	protein_coding	GO:0005515	protein binding
WBGene00020358	math-39	protein_coding	GO:0005515	protein binding
WBGene00020359	math-40	protein_coding	GO:0005515	protein binding
WBGene00020360	math-41	protein_coding	GO:0005515	protein binding
WBGene00020361	fbxc-19	protein_coding		
WBGene00020362	fbxb-10	protein_coding	GO:0005515	protein binding
WBGene00020363	fbxa-3	protein_coding	GO:0005515	protein binding
WBGene00020364		pseudogene		
WBGene00020365	T08G2.2	protein_coding	GO:0016020	membrane
WBGene00020366	acdh-10	protein_coding	GO:0050660; GO:0005739; GO:0016627; GO:0006635; GO:0003995; GO:0070991	flavin adenine dinucleotide binding; mitochondrion; oxidoreductase activity, acting on the CH-CH group of donors; fatty acid beta-oxidation; acyl-CoA dehydrogenase activity; medium-chain-acyl-CoA dehydrogenase activity
WBGene00020368	ast-1	protein_coding	GO:0006355; GO:0003700; GO:0043565; GO:0006357	regulation of DNA-templated transcription; DNA-binding transcription factor activity; sequence-specific DNA binding; regulation of transcription by RNA polymerase II
WBGene00020369	exc-15	protein_coding	GO:0016491	oxidoreductase activity
WBGene00020370	T08H10.3	protein_coding	GO:0016020; 	membrane; 
WBGene00020371		pseudogene		
WBGene00020372	T09A12.1	protein_coding		
WBGene00020373	gpx-6	protein_coding	; GO:0004602; GO:0006979	; glutathione peroxidase activity; response to oxidative stress
WBGene00020374	serp-1.2	protein_coding	GO:0005783	endoplasmic reticulum
WBGene00020375	pigv-1	protein_coding	GO:0006506; GO:0000009; GO:0004376	GPI anchor biosynthetic process; alpha-1,6-mannosyltransferase activity; glycolipid mannosyltransferase activity
WBGene00020376	T09B4.2	protein_coding	GO:0016020; GO:0001671; GO:0061024	membrane; ATPase activator activity; membrane organization
WBGene00020377	T09B4.3	protein_coding		
WBGene00020378	T09B4.4	protein_coding	GO:0005509	calcium ion binding
WBGene00020379	T09B4.5	protein_coding	GO:0016020	membrane
WBGene00020380	T09B4.6	protein_coding		
WBGene00020381		pseudogene		
WBGene00020382	T09B4.8	protein_coding	GO:0005739; GO:0030170; GO:0008483; GO:0008453; GO:0009436; GO:0019481; GO:0003824	mitochondrion; pyridoxal phosphate binding; transaminase activity; alanine-glyoxylate transaminase activity; glyoxylate catabolic process; L-alanine catabolic process, by transamination; catalytic activity
WBGene00020383	tin-44	protein_coding	GO:0051087; GO:0030150	chaperone binding; protein import into mitochondrial matrix
WBGene00020384	T09D3.3	protein_coding		
WBGene00020385	nhr-216	protein_coding	GO:0008270; GO:0006355; GO:0003700; GO:0043565; 	zinc ion binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity; sequence-specific DNA binding; 
WBGene00020386	dach-1	protein_coding	GO:0004497; GO:0020037; GO:0005506; GO:0016705	monooxygenase activity; heme binding; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
WBGene00020388		pseudogene		
WBGene00020389	T10B5.3	protein_coding	GO:0005730; GO:0000462; GO:0016020	nucleolus; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); membrane
WBGene00020390	T10B5.4	protein_coding	GO:0016747; GO:0008080	acyltransferase activity, transferring groups other than amino-acyl groups; N-acetyltransferase activity
WBGene00020391	cct-7	protein_coding	GO:0005524; GO:0006457; GO:0051082; GO:0016887; GO:0140662	ATP binding; protein folding; unfolded protein binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone
WBGene00020392	knl-3	protein_coding		
WBGene00020393	T10B5.7	protein_coding	GO:0006629	lipid metabolic process
WBGene00020394	T10B5.8	protein_coding	GO:0016491; GO:0010181	oxidoreductase activity; FMN binding
WBGene00020396	T10B5.10	protein_coding	GO:0003677; GO:0046872; 	DNA binding; metal ion binding; 
WBGene00020397	pcbd-1	protein_coding	GO:0008124; GO:0006729	4-alpha-hydroxytetrahydrobiopterin dehydratase activity; tetrahydrobiopterin biosynthetic process
WBGene00020398	cerk-1	protein_coding	GO:0016301	kinase activity
WBGene00020399	ztf-4	protein_coding	GO:0003723; GO:0003676	RNA binding; nucleic acid binding
WBGene00020400	T10B11.4	protein_coding		
WBGene00020401	T10B11.5	protein_coding	GO:0016020; GO:0005634; GO:0005640	membrane; nucleus; nuclear outer membrane
WBGene00020402	T10B11.6	protein_coding	GO:0016020; GO:0005634; GO:0005739; GO:0005640	membrane; nucleus; mitochondrion; nuclear outer membrane
WBGene00020403	hrde-4	protein_coding		
WBGene00020404	T10B11.8	protein_coding		
WBGene00020406	T10D4.1	protein_coding		
WBGene00020407	chil-24	protein_coding	GO:0005975; GO:0008061	carbohydrate metabolic process; chitin binding
WBGene00020408	T10D4.6	protein_coding	GO:0003677; GO:0005737; GO:0031267; GO:0030833	DNA binding; cytoplasm; small GTPase binding; regulation of actin filament polymerization
WBGene00020409	T10D4.7	protein_coding		
WBGene00020410	T10D4.11	protein_coding		
WBGene00020411	T10E9.1	protein_coding	GO:0005515	protein binding
WBGene00020412	T10E9.2	protein_coding		
WBGene00020413	cpg-22	protein_coding		
WBGene00020414	T10E9.4	protein_coding	GO:0016020	membrane
WBGene00020415	T10E9.5	protein_coding	GO:0016020	membrane
WBGene00020416	T10E9.6	protein_coding	GO:0016020	membrane
WBGene00020417	nuo-2	protein_coding	GO:0008137; GO:0016651	NADH dehydrogenase (ubiquinone) activity; oxidoreductase activity, acting on NAD(P)H
WBGene00020418	T10E9.8	protein_coding	GO:0016020	membrane
WBGene00020419	acdh-4	protein_coding	GO:0050660; GO:0016627; GO:0003995	flavin adenine dinucleotide binding; oxidoreductase activity, acting on the CH-CH group of donors; acyl-CoA dehydrogenase activity
WBGene00020420	T10E10.3	protein_coding	GO:0016020; GO:0005886; GO:0008528; GO:0004930; GO:0007186	membrane; plasma membrane; G protein-coupled peptide receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway
WBGene00020421	T10E10.4	protein_coding	GO:0008061	chitin binding
WBGene00020422	T10F2.2	protein_coding	GO:0016020; GO:0005739; GO:1990575; GO:0000064	membrane; mitochondrion; mitochondrial L-ornithine transmembrane transport; L-ornithine transmembrane transporter activity
WBGene00020423	prp-19	protein_coding	GO:0005515; GO:0004842; GO:0006281; GO:0016567; GO:0000398; GO:0061630; GO:0000974	protein binding; ubiquitin-protein transferase activity; DNA repair; protein ubiquitination; mRNA splicing, via spliceosome; ubiquitin protein ligase activity; Prp19 complex
WBGene00020424	T10H9.1	protein_coding	GO:0016020	membrane
WBGene00020425	syx-18	protein_coding		
WBGene00020426	T10H10.2	protein_coding	GO:0016491; GO:0016972; GO:0005615; GO:0006457; GO:0003756; GO:0016971	oxidoreductase activity; thiol oxidase activity; extracellular space; protein folding; protein disulfide isomerase activity; flavin-linked sulfhydryl oxidase activity
WBGene00020427	sav-1	protein_coding	GO:0005515; GO:0007165; GO:0006915; GO:0035329; GO:0060090; GO:0042127	protein binding; signal transduction; apoptotic process; hippo signaling; molecular adaptor activity; regulation of cell population proliferation
WBGene00020428	irld-48	protein_coding		
WBGene00020430	irld-49	protein_coding		
WBGene00020431	irld-50	protein_coding		
WBGene00020432		pseudogene		
WBGene00020433	T11F8.1	protein_coding	GO:0016020	membrane
WBGene00020434		pseudogene		
WBGene00020435	T11F8.4	protein_coding	GO:0007165; GO:0005634; GO:0005524; GO:0016310; GO:0016301; GO:0004672; GO:0004674; GO:0006468	signal transduction; nucleus; ATP binding; phosphorylation; kinase activity; protein kinase activity; protein serine/threonine kinase activity; protein phosphorylation
WBGene00020436	amdh-1	protein_coding	GO:0016787; GO:0005737; GO:0016812; GO:0016810; GO:0019556	hydrolase activity; cytoplasm; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; histidine catabolic process to glutamate and formamide
WBGene00020437	stt-3	protein_coding	GO:0016020; GO:0006486; GO:0004576	membrane; protein glycosylation; oligosaccharyl transferase activity
WBGene00020438	T12A2.3	protein_coding		
WBGene00020439		pseudogene		
WBGene00020440		pseudogene		
WBGene00020441	bcas-2	protein_coding	GO:0006397	mRNA processing
WBGene00020442	gen-1	protein_coding	GO:0003677; GO:0003824; GO:0004518	DNA binding; catalytic activity; nuclease activity
WBGene00020443	esyt-2	protein_coding	GO:0008289; GO:0006869; GO:0061817	lipid binding; lipid transport; endoplasmic reticulum-plasma membrane tethering
